qt5-base 5.15.2+kde+r302-1
qt5-declarative 5.15.2+kde+r46-1
qt5-styleplugins 5.0.0.20170311-26
qt5-svg 5.15.2+kde+r16-2
qt5-translations 5.15.2+kde+r22-1
qt5-wayland 5.15.2+kde+r53-1
qt5-x11extras 5.15.2-2
ranger 1.9.3-4
rav1e 0.4.1-1
re2 1:20220201-1
readline 8.1.002-1
redshift 1.12-5
reflector 2021.11-2
reflector-mirrorlist-update 1.0-1
reiserfsprogs 3.6.27-3
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 13.0.0-2
rofi 1.7.3-1
rpm-tools 4.17.0-3
rsync 3.2.3-4
rtkit 0.13-1
ruby 3.0.3-1
ruby-irb 1.4.1-1
ruby-reline 0.3.1-1
rubygems 3.3.5-1
run-parts 5.5-1
sane 1.1.1-1
sassc 3.6.2-3
sbc 1.5-2
sdl 1:1.2.15+r406+gf1caf909-1
sdl2 2.0.20-2
sdl2_image 2.0.5-2
seabios 1.15.0-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
serf 1.3.9-5
shadow 4.11.1-1
shared-mime-info 2.0+115+gd74a913-1
slang 2.3.2-2
snappy 1.1.9-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.15.0-1
spice-gtk 0.40-1
spice-vdagent 0.22.1-1
sqlite 3.37.2-1
sratom 0.6.8-3
srt 1.4.4-1
starship 1.3.0-2
startup-notification 0.12-7
steam 1.0.0.74-1
subversion 1.14.1-5
sudo 1.9.9-2
suitesparse 5.10.1-2
svt-av1 0.9.0-1
swtpm 0.7.1-1
sysfsutils 2.1.1-1
systemd 250.3-4
systemd-libs 250.3-4
systemd-sysvcompat 250.3-4
taglib 1.12-1
tar 1.34-1
tdb 1.4.6-1
teams 1.4.00.26453-1
texinfo 6.8-2
themix-gui-git 1.14.r35.g09ee8f21-1
themix-icons-papirus-git 20220204.r16.g72f9d5f4e6-1
themix-plugin-base16-git 1.2.r1.gf07e291-1
themix-theme-oomox-git 1.12.2.r3.gaff8b363-1
thin-provisioning-tools 0.9.0-1
timeshift 21.09.1-3
tracker3 3.2.1-2
tree-sitter 0.20.4-1
tslib 1.22-1
ttf-carlito 20130920-6
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-font-awesome 6.0.0-1
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-windows 1-1
twolame 0.4.0-2
typescript 4.5.5-1
typescript-language-server-bin 0.9.6-1
tzdata 2021e-1
udisks2 2.9.4-1
unibilium 2.1.1-1
unixodbc 2.3.9-1
unrar 1:6.1.5-1
unzip 6.0-18
usbredir 0.12.0-1
usbutils 014-2
util-linux 2.37.4-1
util-linux-libs 2.37.4-1
v4l-utils 1.22.1-1
vde2 2.3.2-20
ventoy-bin 1.0.69-1
vid.stab 1.1-3
virglrenderer 0.9.1-1
virt-install 3.2.0-4
virt-manager 3.2.0-4
visual-studio-code-bin 1.64.2-1
vmaf 2.3.0-1
volume_key 0.3.12-7
vscode-langservers-extracted 4.1.0-1
vte-common 0.66.2-1
vte3 0.66.2-1
vulkan-headers 1:1.3.204-1
vulkan-icd-loader 1.2.203-1
w3m 0.5.3.git20210102_6-1
wavpack 5.4.0-1
wayland 1.20.0-1
webkit2gtk 2.34.6-1
webrtc-audio-processing 0.3.1-3
wget 1.21.2-1
which 2.21-5
wine-mono 7.1.1-1
wine-staging 7.2-1
winetricks 20210825-1
woff2 1.0.2-3
wpa_supplicant 2:2.10-2
wpebackend-fdo 1.12.0-1
x264 3:0.164.r3081.19856cc-1
x265 3.5-1
xapp 2.2.8-1
xautoclick 0.34-2
xautomation 1.09-4
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.3-1
xdg-desktop-portal 1.12.1-1
xdg-desktop-portal-gtk 1.12.0-1
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.1-1
xf86-video-qxl 0.1.5.r16.g52c421c-2
xfsprogs 5.14.2-1
xidlehook 0.10.0-1
xkeyboard-config 2.35.1-1
xorg-bdftopcf 1.1-2
xorg-font-util 1.3.2-2
xorg-fonts-encodings 1.0.5-2
xorg-mkfontscale 1.2.1-2
xorg-server 21.1.3-6
xorg-server-common 21.1.3-6
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1.1-1
xorg-xdpyinfo 1.3.2-4
xorg-xhost 1.0.8-2
